,France,Japan,"Korea, Republic of",Norway,Portugal,Sweden,Switzerland,United Kingdom,United States
2010Q1,1244.8366666666668,1180.9627366666664,1167.6723333333337,1194.3333333333337,1223.9523333333339,4095.070000000001,1327.4799333333333,1119.2333333333333,217.019666666667
2010Q2,1255.3566666666677,1175.9475433333328,1173.4580000000003,1202.633333333333,1242.28,4118.713333333333,1345.3529000000008,1134.7666666666667,218.050666666667
2010Q3,1252.1599999999994,1165.9227766666672,1181.0329999999997,1194.8333333333335,1239.2383333333337,4120.616666666666,1324.9240666666674,1136.8666666666666,218.254
2010Q4,1257.4333333333332,1174.5293599999998,1185.4529999999995,1203.933333333333,1253.8999999999996,4161.2733333333335,1342.3738999999998,1151.633333333333,218.897666666667
2011Q1,1259.6999999999996,1167.3981733333326,1203.5803333333333,1204.3333333333337,1259.2446666666663,4175.039999999999,1337.6103000000005,1164.1333333333332,221.666333333333
2011Q2,1272.5966666666664,1172.913426666666,1212.1803333333335,1214.766666666667,1282.037333333334,4212.160000000001,1348.4576666666649,1183.0333333333335,225.530666666667
2011Q3,1267.7766666666666,1167.4201933333331,1222.152666666667,1208.8000000000002,1269.9703333333339,4214.479999999999,1328.057233333333,1190.266666666667,226.452
2011Q4,1280.0233333333338,1164.7845866666667,1222.809,1219.6666666666674,1292.4603333333328,4238.0566666666655,1330.970900000001,1204.8666666666663,226.107666666667
2012Q1,1279.1433333333339,1162.5796800000003,1231.198666666667,1217.7999999999997,1289.3450000000005,4255.500000000003,1321.9034333333334,1207.9666666666665,227.906666666667
2012Q2,1289.0966666666657,1167.0805000000003,1232.5543333333333,1223.4000000000005,1306.207333333332,4284.093333333332,1331.815033333334,1219.1666666666667,229.792666666667
2012Q3,1282.2266666666671,1160.0712899999999,1234.9170000000001,1217.0333333333338,1294.9350000000004,4274.4433333333345,1318.7683,1221.5666666666662,230.296666666667
2012Q4,1287.4399999999991,1159.7970366666668,1238.0993333333336,1233.6666666666674,1309.5159999999998,4285.446666666667,1323.3814333333335,1246.0000000000002,230.379666666667
2013Q1,1280.6600000000005,1154.019493333333,1245.7466666666664,1234.7333333333331,1295.0783333333327,4283.853333333335,1315.9591333333353,1250.3999999999999,231.739666666667
2013Q2,1289.9366666666665,1163.2248433333332,1244.3090000000007,1246.033333333334,1315.2999999999993,4300.65,1324.9337000000007,1260.7,232.993333333333
2013Q3,1289.430000000001,1164.9228233333333,1248.8616666666667,1247.6000000000001,1304.3076666666675,4303.35,1316.5961999999995,1264.4000000000005,233.874
2013Q4,1296.7633333333335,1169.88883,1250.502333333333,1257.9333333333334,1312.6776666666674,4310.13,1320.3257333333322,1279.2666666666669,233.221333333333
2014Q1,1293.2733333333326,1166.3733966666666,1258.933333333333,1260.5999999999997,1298.507000000001,4291.990000000002,1312.2043999999999,1280.333333333333,234.996666666667
2014Q2,1301.3700000000006,1200.8925533333322,1263.5006666666663,1270.4999999999995,1315.5290000000007,4316.063333333334,1322.497366666666,1289.0333333333326,237.771666666667
