,Australia,Brazil,Canada,Colombia,France,Indonesia,Israel,Japan,"Korea, Republic of",Mexico,New Zealand,Norway,Portugal,Sweden,Switzerland,United Kingdom,United States
2001Q3,1507.2000000000003,1766.12333333333,196.4333333333334,122.59,1107.3266666666666,45.45939,1104.6921433333341,1238.7113833333335,961.2529999999997,124.49273333333329,1283.20313,1096.133333333333,1026.8526666666673,3577.0133333333333,1272.5009666666665,983.2000000000003,177.766666666667
2001Q4,1509.7,1800.61,195.03333333333342,123.4633333333333,1110.7233333333324,46.70592,1107.8616366666663,1236.6220666666663,959.9103333333337,126.5196866666667,1285.2023000000002,1107.8666666666666,1041.0503333333327,3604.8233333333333,1272.9646666666663,989.8333333333334,177.266666666667
2002Q1,1520.1000000000001,1830.11,198.6000000000003,126.91,1116.2166666666676,48.8954933333333,1107.0221100000003,1224.4179433333338,967.3139999999999,127.07627333333329,1286.80146,1100.133333333333,1041.2916666666665,3613.423333333334,1271.1522666666667,983.0666666666675,177.9
2002Q2,1523.8,1859.52333333333,200.333333333333,130.9466666666666,1123.773333333334,49.3971133333333,1138.1508266666667,1229.1076666666665,975.3523333333335,128.2733566666667,1286.91661,1114.4999999999993,1059.7116666666664,3653.0700000000006,1287.7946000000004,989.3666666666664,179.833333333333
2002Q3,1527.6999999999998,1900.97,200.3333333333337,131.92666666666668,1125.266666666666,50.1771333333333,1154.242323333333,1224.7270833333325,976.3046666666663,953.4973333333329,1287.43258,1107.4,1064.3879999999997,3650.006666666667,1274.9419666666668,985.4000000000004,180.6
2002Q4,1529.2,1992.29,200.7000000000003,134.8566666666667,1131.2399999999998,51.4788433333333,1156.7647533333325,1225.5483033333335,980.9253333333336,964.1605299999997,1287.91495,1119.0999999999997,1080.5670000000002,3679.776666666666,1289.388566666666,996.0999999999995,181.166666666667
2003Q1,1535.1999999999998,2116.2,204.3,138.30666666666662,1135.826666666667,52.7103233333333,1148.881119999999,1215.356676666666,992.2826666666663,973.7077266666663,1288.1477999999997,1117.166666666667,1076.6219999999998,3707.176666666667,1283.6304666666654,991.533333333334,183.0
2003Q2,1538.3999999999999,2173.00666666667,204.53333333333399,142.45,1141.3233333333335,52.96113,1157.070623333334,1225.0451566666668,995.327666666667,979.5976400000001,1287.8477999999998,1113.2333333333331,1091.484333333333,3716.9566666666683,1296.5428333333325,997.0333333333328,183.666666666667
2003Q3,1542.1999999999998,2190.20666666667,203.96666666666698,141.37,1142.953333333333,53.3774766666667,1142.6538166666662,1224.2360799999992,995.6360000000001,984.5706433333337,1288.5637699999997,1103.1999999999996,1090.1660000000006,3712.696666666667,1280.606333333333,997.2666666666668,184.566666666667
2003Q4,1543.6999999999998,2219.29666666667,203.96666666666601,142.2133333333334,1154.4000000000005,54.4108133333333,1133.7897333333328,1222.3934299999992,999.593666666667,994.2887833333331,1289.1293199999998,1110.366666666667,1108.3060000000005,3732.526666666668,1295.4233000000004,1003.9666666666668,184.6
