Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,^GSPC
8/19/2016,0.010848684,0.002291809,0.010017294,0.010069517,-0.011402556,0.012046445,0.030852056,-0.00465766,0.000320026,0.01808953,-0.0081608,-0.011863937,0.01919569,-0.020497635,0.008233118,-0.002501448,-0.038464529,0.002543907,0.000157879,0.000675106,0.042485771,0,0.003097196,-0.008814333,-0.005896462,0.008541505,0.007341931,-0.022621192,-0.014724191,-0.000569248,-8.24E-05
8/12/2016,0.006491795,-0.002139135,0.018599442,0.005315443,-0.005491943,0.016282981,-0.017278672,0.010484252,-0.001279554,0.007131012,-0.002486571,-0.000925877,-0.011790247,-0.008243816,-0.014891566,0.012570073,0.002596932,0.009474948,-0.008018376,-0.000345144,0.010685823,-0.013064558,0.014581711,-0.000590489,-0.000769522,0.010433495,-0.001498513,0.000186544,0.008583118,0.011797909,0.000540396
8/5/2016,0.036299243,0.016310482,-0.014545093,-0.002419584,0.016566948,-0.019410367,0.000722861,-0.001251265,0.004485753,0.02044338,-0.009667553,0.017771823,0.010987911,-0.007936835,0.035775522,-0.003443863,0.013172545,0.001176776,0.084935181,0.022331652,0.006286435,-0.031821193,0.002217531,0.020102875,-0.001467405,0.000835673,0.026425301,-0.032465082,0.010768131,-0.01575014,0.004255754
7/29/2016,0.054728451,0.002796335,0.001422638,0.041698444,-0.005878499,-0.030558778,0.010755774,-0.018176771,-0.029116028,-0.010024762,0.012520339,-0.008987133,0.005753718,0.001598356,-0.001093574,-0.049193974,-0.086345246,-0.011594351,-0.002723851,0.001942648,-0.021920074,0.004074286,-0.001517737,-0.0079702,-0.003416212,0.023687649,-0.023551184,-0.012375731,-0.007917117,-0.0553268,-0.000657647
7/22/2016,-0.001215584,0.007808896,0.008124626,-0.006904976,0.029409069,-0.012882692,0.018733453,-0.021164346,-0.025255398,-0.007638544,0.01282736,0.014230589,-0.011759681,0.016369323,-0.002183711,0.004373538,0.036927953,-0.005306209,-0.013676939,0.052065796,-0.019895922,-0.000816192,0.004428359,-0.012638552,0.016560763,-0.0035133,0.020353207,0.004645352,-0.001630058,-0.011738031,0.006129023
7/15/2016,0.021488625,0.036565045,0.017525473,0.042139529,0.018957866,0.021341628,0.053050366,0.001805262,0.020898089,0.072206225,0.00326985,0.033862599,0.030985543,0.001220314,0.037302891,0.005493976,0.01878225,0.02387704,0.004706671,0.026416583,0.020072159,0.017835658,0.002794267,0.004731374,0.000424508,0.017594557,0.024303308,-0.00107396,-0.002304761,0.016750011,0.014838464
7/8/2016,0.008204869,0.013095658,0.003079544,0.011962217,0.024914807,0.005935287,-0.010464858,0.023327321,0.022296475,0.014265389,0.035766904,0.013754689,0.03745761,0.012779718,0.009261577,0.005745838,0.007529594,0.008960499,0.024044184,0.022038428,0.019763846,0.015344111,0.011609462,-0.006499858,0.002906567,0.00901226,0.025713814,0.004158978,0.014047247,-0.003201943,0.012733887
7/1/2016,0.026310351,0.015456112,0.024746643,0.045766682,0.037139536,0.021840246,-0.025162187,0.023846348,0.054490766,0.044059379,0.025155435,0.038540962,0.037329294,0.047788892,0.035225965,0.026728204,0.008005447,0.037258415,0.036201444,0.02634075,0.055837057,0.046024745,0.030174749,0.068151903,0.025671171,0.03809594,-0.007624034,0.032534935,0.011742872,0.048582353,0.031661688
6/24/2016,-0.020453154,-0.02952975,-0.025748511,-0.03894165,-0.042334402,0.003243725,-0.019951483,-0.033692674,-0.025820747,-0.026297057,-0.005837297,-0.036175207,-0.006634045,0.001298073,-0.043984709,-0.019387537,-0.02341751,0.001064929,-0.000178983,-0.006002418,-0.021073243,-0.007332398,-0.010520567,-0.00753782,-0.002909486,-0.023090528,-0.025520883,0.012013798,0.014134869,-0.014768925,-0.016458382
6/17/2016,-0.036056639,-0.049051854,-0.010116641,-0.001316053,-0.002759612,-0.004028529,-0.003409938,0.016909884,0.026017291,-0.02876396,-0.013204837,-0.002496907,-0.008777526,-0.013161997,-0.024739707,-0.018799697,-0.000735895,0.002251794,-0.008196859,-0.026573739,-0.025731942,-0.030789389,-0.000841653,-0.017282278,-0.006650605,-0.007874125,-0.04059856,0.020855669,-0.002674375,0.008190227,-0.011926404
